x,y,n
0.45,2.52,1
1.28,2.52,2
2.105,2.52,3
2.93,2.52,4
4.065,2.52,5
4.89,2.52,6
7.19,2.52,7
7.965,2.52,8
8.74,2.52,9
9.79,2.52,10
10.565,2.52,11
11.24,2.52,12
11.95,2.52,13
14.23,2.52,14
15.235,2.52,15
16.01,2.52,16
16.77,2.52,17
0.45,2.02,18
1.28,2.02,19
2.105,2.02,20
2.93,2.02,21
4.065,2.02,22
4.89,2.02,23
7.19,2.02,24
7.965,2.02,25
8.74,2.02,26
9.79,2.02,27
10.565,2.02,28
11.24,2.02,29
11.95,2.02,30
14.23,2.02,31
15.235,2.02,32
16.01,2.02,33
16.77,2.02,34
0.45,0.82,35
1.28,0.82,36
2.105,0.82,37
2.93,0.82,38
4.065,0.82,39
4.89,0.82,40
7.19,0.82,41
8.135,0.82,42
9.11,0.82,43
10.055,0.82,44
10.93,0.82,45
12.015,0.82,46
14.23,0.82,47
15.235,0.82,48
16.01,0.82,49
16.77,0.82,50
0.45,0.32,51
1.28,0.32,52
2.105,0.32,53
2.93,0.32,54
4.065,0.32,55
4.89,0.32,56
7.19,0.32,57
8.135,0.32,58
9.11,0.32,59
10.055,0.32,60
10.93,0.32,61
12.015,0.32,62
14.23,0.32,63
15.235,0.32,64
16.01,0.32,65
16.77,0.32,66
